No.,player_id,Firstname,Surname,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_name,npg,npxG,xGChain,xGBuildup,year
1,822,Max,Aarons,Max Aarons,36,3240,0,0.650880901,1,3.895117931,14,23,7,0,D,Norwich,0,0.650880901,10.05500564,7.378263747,2019
2,8718,Tammy,Abraham,Tammy Abraham,22,1027,6,6.189150684,1,0.721487461,32,9,0,0,F S,Chelsea,6,6.189150684,7.901170408,2.122328226,2020
3,8720,Tammy,Abraham,Tammy Abraham,34,2233,15,18.08280155,3,2.913048159,88,21,2,0,F S,Chelsea,15,18.08280155,19.84191975,1.546150887,2019
4,2381,Che,Adams,Che Adams,36,2685,9,12.11873416,5,5.227753505,55,37,1,0,F S,Southampton,9,12.11873416,14.48691171,2.74462433,2020
5,8026,Che,Adams,Che Adams,30,1096,4,5.865681563,2,1.988808864,36,13,0,0,F S,Southampton,4,5.865681563,7.280021018,1.205721572,2019
6,4381,Sergio,Agüero,Sergio Agüero,12,556,4,3.716518562,1,1.315659788,19,7,0,0,F M S,Manchester City,3,2.194180879,4.158569988,1.283171352,2020
7,3428,Sergio,Agüero,Sergio Agüero,24,1462,16,15.55750033,3,2.92020883,76,19,1,0,F S,Manchester City,14,13.27403068,16.878254,2.644766173,2019
8,8722,Sergio,Agüero,Sergio Agüero,33,2515,21,19.94914648,8,5.22924312,118,34,3,0,F S,Manchester City,19,18.4268089,28.70022003,8.100998357,2018
9,1014,Albian,Ajeti,Albian Ajeti,9,114,0,0.202351684,0,0.038743831,3,2,0,0,S,West Ham,0,0.202351684,0.273331942,0.032236431,2019
10,2163,Nathan,Aké,Nathan Aké,10,802,1,0.505318072,0,0.017229334,3,1,4,0,D S,Manchester City,1,0.505318072,4.211258717,4.194029383,2020
11,8717,Marc,Albrighton,Marc Albrighton,31,1731,1,1.246730871,5,4.036376454,21,38,2,0,D M S,Leicester,1,1.246730871,8.017677169,5.142710544,2020
12,8719,Marc,Albrighton,Marc Albrighton,20,860,0,0.446091877,3,2.290337469,10,20,2,0,D M S,Leicester,0,0.446091877,4.420472512,2.378024429,2019
13,8816,Marc,Albrighton,Marc Albrighton,27,1625,2,1.063951438,2,2.988251672,19,29,3,0,F M S,Leicester,2,1.063951438,5.236807061,2.293505693,2018
14,2164,Thiago,Thiago,Thiago,24,1865,1,1.211306193,0,2.554921616,22,30,4,0,M S,Liverpool,1,1.211306193,11.15254943,9.468282035,2020
15,6273,Toby,Alderweireld,Toby Alderweireld,25,2243,1,0.613819364,0,0.968030091,10,8,2,0,D,Tottenham,1,0.613819364,5.900500618,5.85721869,2020
